"","orig","des_old","des_new"
"Q482U0","Transcription termination/antitermination protein NusA ","Transcription termination/antitermination protein NusA ","Transcription termination/antitermination protein NusA "
"Q482U1","Ribosome maturation factor RimP ","Ribosome maturation factor RimP ","Ribosome maturation factor RimP "
"Q482U2","GGDEF/EAL domain protein ","GGDEF/EAL domain protein ","GGDEF/EAL domain protein "
"Q482U4","Ion-translocating oxidoreductase complex subunit B ","Ion-translocating oxidoreductase complex subunit B ","Ion-translocating oxidoreductase complex subunit B "
"Q482U5","Ion-translocating oxidoreductase complex subunit C ","Ion-translocating oxidoreductase complex subunit C ","Ion-translocating oxidoreductase complex subunit C "
"Q482U7","Ion-translocating oxidoreductase complex subunit G ","Ion-translocating oxidoreductase complex subunit G ","Ion-translocating oxidoreductase complex subunit G "
"Q482U8","Ion-translocating oxidoreductase complex subunit E ","Ion-translocating oxidoreductase complex subunit E ","Ion-translocating oxidoreductase complex subunit E "
"Q482U9","Endonuclease III ","Endonuclease III ","Endonuclease III "
"Q482V0","Uncharacterized protein ","Uncharacterized protein ","NIPSNAP domain-containing protein "
"Q482V1","Lactoylglutathione lyase ","Lactoylglutathione lyase ","Lactoylglutathione lyase "
"Q482V2","Aminotransferase, class V ","Aminotransferase, class V ","Aminotransferase, class V "
"Q482V3","Uncharacterized protein ","Uncharacterized protein ","YaeQ family protein "
"Q482V4","Putative peptidase, M28 family ","Putative peptidase, M28 family ","Putative peptidase, M28 family "
"Q482V7","Putative lipoprotein ","Putative lipoprotein ","Putative lipoprotein "
"Q482W8","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q482X1","Uncharacterized protein ","Uncharacterized protein ","Iron-binding zinc finger CDGSH type domain-containing protein "
"Q482X3","Uncharacterized protein ","Uncharacterized protein ","Methyltransferase domain-containing protein "
"Q482X4","Uncharacterized protein ","Uncharacterized protein ","Zinc/iron-chelating domain-containing protein "
"Q482X5","Uncharacterized protein ","Uncharacterized protein ","DUF5655 domain-containing protein "
"Q482X6","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q482X9","Uncharacterized protein ","Uncharacterized protein ","Metal-dependent protein hydrolase "
"Q482Y0","Uncharacterized protein ","Uncharacterized protein ","Replicative DNA helicase "
"Q482Y1","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q482Y4","Glucose 1-dehydrogenase ","Glucose 1-dehydrogenase ","Glucose 1-dehydrogenase "
"Q482Y5","Thioesterase family protein ","Thioesterase family protein ","Thioesterase family protein "
"Q482Y7","AMP-binding protein ","AMP-binding protein ","AMP-binding protein "
"Q482Y8","Hydrolase, alpha/beta hydrolase fold family ","Hydrolase, alpha/beta hydrolase fold family ","Hydrolase, alpha/beta hydrolase fold family "
"Q482Y9","3-oxoacyl-(Acyl carrier protein) synthase III, homolog ","3-oxoacyl-(Acyl carrier protein) synthase III, homolog ","3-oxoacyl-(Acyl carrier protein) synthase III, homolog "
"Q482Z2","Gamma-glutamyltranspeptidase ","Gamma-glutamyltranspeptidase ","Glutathione hydrolase proenzyme "
"Q482Z5","UDP-glucose 4-epimerase ","UDP-glucose 4-epimerase ","UDP-glucose 4-epimerase "
"Q482Z6","Uncharacterized protein ","Uncharacterized protein ","Acetyltransferase "
"Q482Z7","Adenylyl-sulfate kinase ","Adenylyl-sulfate kinase ","Adenylyl-sulfate kinase "
"Q482Z9","Sulfate adenylyltransferase subunit 1 ","Sulfate adenylyltransferase subunit 1 ","Sulfate adenylyltransferase subunit 1 "
"Q483A0","Sulfate adenylyltransferase subunit 2 ","Sulfate adenylyltransferase subunit 2 ","Sulfate adenylyltransferase subunit 2 "
"Q483A2","Putative lipoprotein ","Putative lipoprotein ","Putative lipoprotein "
"Q483A3","Transcription-repair-coupling factor ","Transcription-repair-coupling factor ","Transcription-repair-coupling factor "
"Q483A4","Putative lipoprotein ","Putative lipoprotein ","Putative lipoprotein "
"Q483A5","Uncharacterized protein ","Uncharacterized protein ","SMc04008-like domain-containing protein "
"Q483A6","Pseudouridine synthase ","Pseudouridine synthase ","Pseudouridine synthase "
"Q483A7","Zinc metallopeptidase, M16 family ","Zinc metallopeptidase, M16 family ","Protease 3 "
"Q483A8","Uncharacterized protein ","Uncharacterized protein ","JmjC domain-containing protein "
"Q483A9","Uncharacterized protein ","Uncharacterized protein ","Ubiquinone biosynthesis protein UbiV "
"Q483B0","Peptidase, U32 family ","Peptidase, U32 family ","Ubiquinone biosynthesis protein UbiU "
"Q483B3","3-deoxy-manno-octulosonate cytidylyltransferase ","3-deoxy-manno-octulosonate cytidylyltransferase ","3-deoxy-manno-octulosonate cytidylyltransferase "
"Q483B4","UPF0434 protein CPS_2127 ","UPF0434 protein CPS_2127 ","UPF0434 protein CPS_2127 "
"Q483B5","Tetraacyldisaccharide 4_-kinase ","Tetraacyldisaccharide 4'-kinase ","Tetraacyldisaccharide 4'-kinase "
"Q483B6","Lipid A export ATP-binding/permease protein MsbA 1 ","Lipid A export ATP-binding/permease protein MsbA 1 ","ATP-dependent lipid A-core flippase 1 "
"Q483B9","Sensor histidine kinase ","Sensor histidine kinase ","histidine kinase "
"Q483C0","Sigma-54 dependent DNA-binding response regulator, Fis family ","Sigma-54 dependent DNA-binding response regulator, Fis family ","Sigma-54 dependent DNA-binding response regulator, Fis family "
"Q483C4","Holliday junction ATP-dependent DNA helicase RuvB ","Holliday junction ATP-dependent DNA helicase RuvB ","Holliday junction branch migration complex subunit RuvB "
"Q483C5","Holliday junction ATP-dependent DNA helicase RuvA ","Holliday junction ATP-dependent DNA helicase RuvA ","Holliday junction branch migration complex subunit RuvA "
"Q483C7","Aspartate--tRNA(Asp/Asn) ligase ","Aspartate--tRNA(Asp/Asn) ligase ","Aspartate--tRNA(Asp/Asn) ligase "
"Q483C8","Bacterial extracellular solute-binding proteins, family 3/GGDEF domain protein ","Bacterial extracellular solute-binding proteins, family 3/GGDEF domain protein ","Bacterial extracellular solute-binding proteins, family 3/GGDEF domain protein "
"Q483C9","Carboxy-S-adenosyl-L-methionine synthase ","Carboxy-S-adenosyl-L-methionine synthase ","Carboxy-S-adenosyl-L-methionine synthase "
"Q483D0","tRNA U34 carboxymethyltransferase ","tRNA U34 carboxymethyltransferase ","tRNA U34 carboxymethyltransferase "
"Q483D1","Deoxyguanosinetriphosphate triphosphohydrolase-like protein ","Deoxyguanosinetriphosphate triphosphohydrolase-like protein ","Deoxyguanosinetriphosphate triphosphohydrolase-like protein "
"Q483D3","Glucose-6-phosphate isomerase 2 ","Glucose-6-phosphate isomerase 2 ","Glucose-6-phosphate isomerase 2 "
"Q483D4","UTP--glucose-1-phosphate uridylyltransferase ","UTP--glucose-1-phosphate uridylyltransferase ","UTP--glucose-1-phosphate uridylyltransferase "
"Q483D5","Glycosyl transferase, group 2 family protein ","Glycosyl transferase, group 2 family protein ","Glycosyl transferase, group 2 family protein "
"Q483D6","Glycosyl transferase, group 1 family protein ","Glycosyl transferase, group 1 family protein ","Glycosyl transferase, group 1 family protein "
"Q483D8","Glycosyl transferase, group 2 family protein ","Glycosyl transferase, group 2 family protein ","Glycosyl transferase, group 2 family protein "
"Q483D9","Uncharacterized protein ","Uncharacterized protein ","ATP-grasp domain-containing protein "
"Q483E1","Uncharacterized protein ","Uncharacterized protein ","Capsule polysaccharide biosynthesis protein "
"Q483E3","NeuB protein ","NeuB protein ","NeuB protein "
"Q483E4","Uncharacterized protein ","Uncharacterized protein ","Formyl transferase N-terminal domain-containing protein "
"Q483E5","Putative flagellin modification protein FlmD ","Putative flagellin modification protein FlmD ","Putative flagellin modification protein FlmD "
"Q483E6","Putative acylneuraminate cytidylyltransferase ","Putative acylneuraminate cytidylyltransferase ","Putative acylneuraminate cytidylyltransferase "
"Q483E7","Flagellin modification protein/polysaccharide biosynthesis protein ","Flagellin modification protein/polysaccharide biosynthesis protein ","Flagellin modification protein/polysaccharide biosynthesis protein "
"Q483E8","Polysaccharide biosynthesis protein ","Polysaccharide biosynthesis protein ","Polysaccharide biosynthesis protein "
"Q483F0","Chain length determinant family protein ","Chain length determinant family protein ","Chain length determinant family protein "
"Q483F2","TonB-dependent receptor ","TonB-dependent receptor ","TonB-dependent receptor "
"Q483F4","Putative beta-lactamase ","Putative beta-lactamase ","Putative beta-lactamase "
"Q483F6","Transcriptional regulator, LuxR family ","Transcriptional regulator, LuxR family ","Transcriptional regulator, LuxR family "
"Q483F7","FMN-dependent dehydrogenase ","FMN-dependent dehydrogenase ","FMN-dependent dehydrogenase "
"Q483F8","Putative glyoxylate reductase ","Putative glyoxylate reductase ","Putative glyoxylate reductase "
"Q483G2","Uncharacterized protein ","Uncharacterized protein ","Amidohydrolase 3 domain-containing protein "
"Q483G3","Uncharacterized protein ","Uncharacterized protein ","Transporter "
"Q483G5","Putative lipoprotein ","Putative lipoprotein ","Putative lipoprotein "
"Q483G6","Xaa-Pro dipeptidase ","Xaa-Pro dipeptidase ","Xaa-Pro dipeptidase "
"Q483H3","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q483H4","Uncharacterized protein ","Uncharacterized protein ","Polyketide cyclase "
"Q483H6","DNA-binding protein, HU family ","DNA-binding protein, HU family ","DNA-binding protein, HU family "
"Q483H8","Histidinol dehydrogenase 2 ","Histidinol dehydrogenase 2 ","Histidinol dehydrogenase homolog "
"Q483I1","Formate dehydrogenase, alpha subunit ","Formate dehydrogenase, alpha subunit ","Formate dehydrogenase, alpha subunit "
"Q483I2","Formate dehydrogenase, beta subunit ","Formate dehydrogenase, beta subunit ","NADH-quinone oxidoreductase subunit F "
"Q483I3","Formate dehydrogenase, gamma subunit ","Formate dehydrogenase, gamma subunit ","NADH-quinone oxidoreductase subunit E "
"Q483I4","Transcriptional regulator, LysR family ","Transcriptional regulator, LysR family ","Transcriptional regulator, LysR family "
"Q483I5","Aminotransferase, class III ","Aminotransferase, class III ","Aminotransferase, class III "
"Q483I6","Aldehyde dehydrogenase family protein ","Aldehyde dehydrogenase family protein ","Aldehyde dehydrogenase family protein "
"Q483I7","Aspartate ammonia-lyase ","Aspartate ammonia-lyase ","Aspartate ammonia-lyase "
"Q483I8","Methyl-accepting chemotaxis protein ","Methyl-accepting chemotaxis protein ","Methyl-accepting chemotaxis protein "
"Q483J3","Uncharacterized protein ","Uncharacterized protein ","Fimbrial assembly protein FimA "
"Q483J4","Acetylornithine deacetylase ","Acetylornithine deacetylase ","Probable succinyl-diaminopimelate desuccinylase "
"Q483J6","Acetyltransferase, GNAT family ","Acetyltransferase, GNAT family ","Acetyltransferase, GNAT family "
"Q483K0","Spermidine/putrescine ABC transporter, permease protein PotB ","Spermidine/putrescine ABC transporter, permease protein PotB ","Spermidine/putrescine ABC transporter, permease protein PotB "
"Q483K4","Uncharacterized protein ","Uncharacterized protein ","DUF1214 domain-containing protein "
"Q483K5","DNA-binding response regulator, LuxR family ","DNA-binding response regulator, LuxR family ","DNA-binding response regulator, LuxR family "
"Q483L3","Aminotransferase, class III ","Aminotransferase, class III ","Aminotransferase, class III "
"Q483L4","Succinate-semialdehyde dehydrogenase ","Succinate-semialdehyde dehydrogenase ","Succinate-semialdehyde dehydrogenase "
"Q483M1","Site-specific recombinase, phage integrase family ","Site-specific recombinase, phage integrase family ","Site-specific recombinase, phage integrase family "
"Q483M2","Exodeoxyribonuclease I ","Exodeoxyribonuclease I ","Exodeoxyribonuclease I "
"Q483M3","C4-dicarboxylate transport transcriptional regulatory protein ","C4-dicarboxylate transport transcriptional regulatory protein ","C4-dicarboxylate transport transcriptional regulatory protein "
"Q483M6","Porin ","Porin ","Porin "
"Q483M7","Anion transporter ","Anion transporter ","Anion transporter "
"Q483M8","Putative lipoprotein ","Putative lipoprotein ","Putative lipoprotein "
"Q483M9","3-hydroxyisobutyrate dehydrogenase family protein ","3-hydroxyisobutyrate dehydrogenase family protein ","3-hydroxyisobutyrate dehydrogenase family protein "
"Q483N0","Glutathione peroxidase ","Glutathione peroxidase ","Glutathione peroxidase "
"Q483N2","Aspartokinase ","Aspartokinase ","Aspartokinase "
"Q483N3","Choline/carnitine/betaine transport family protein ","Choline/carnitine/betaine transport family protein ","Choline/carnitine/betaine transport family protein "
"Q483N4","Uncharacterized protein ","Uncharacterized protein ","DUF218 domain-containing protein "
"Q483N5","Uncharacterized protein ","Uncharacterized protein ","Nif3-like dinuclear metal center hexameric protein "
"Q483N6","Uncharacterized protein ","Uncharacterized protein ","Methyltransferase type 11 domain-containing protein "
"Q483N7","Hydroxyacylglutathione hydrolase ","Hydroxyacylglutathione hydrolase ","Hydroxyacylglutathione hydrolase "
"Q483N8","Putative membrane-bound lytic murein transglycosylase ","Putative membrane-bound lytic murein transglycosylase ","Putative membrane-bound lytic murein transglycosylase "
"Q483P0","Transcriptional regulator, Crp/Fnr family ","Transcriptional regulator, Crp/Fnr family ","Transcriptional regulator, Crp/Fnr family "
"Q483P1","Cytochrome c oxidase, cbb3-type, subunit I ","Cytochrome c oxidase, cbb3-type, subunit I ","cytochrome-c oxidase "
"Q483P2","Cytochrome c oxidase, cbb3-type, subunit II ","Cytochrome c oxidase, cbb3-type, subunit II ","Cytochrome c oxidase, cbb3-type, subunit II "
"Q483P3","Cytochrome c oxidase, cbb3-type, CcoQ subunit ","Cytochrome c oxidase, cbb3-type, CcoQ subunit ","Cytochrome c oxidase, cbb3-type, CcoQ subunit "
"Q483P4","Cbb3-type cytochrome c oxidase subunit ","Cbb3-type cytochrome c oxidase subunit ","Cbb3-type cytochrome c oxidase subunit "
"Q483P5","Uncharacterized protein ","Uncharacterized protein ","FixH family protein "
"Q483P6","Copper-translocating P-type ATPase ","Copper-translocating P-type ATPase ","Copper-translocating P-type ATPase "
"Q483P8","Putative membrane protein ","Putative membrane protein ","Putative membrane protein "
"Q483P9","Fumarate/nitrate reduction regulatory protein ","Fumarate/nitrate reduction regulatory protein ","Fumarate/nitrate reduction regulatory protein "
"Q483Q0","Universal stress protein family ","Universal stress protein family ","Universal stress protein family "
"Q483Q1","Allophanate hydrolase domain protein/urea amidolyase, homolog ","Allophanate hydrolase domain protein/urea amidolyase, homolog ","Allophanate hydrolase domain protein/urea amidolyase, homolog "
"Q483Q2","Uncharacterized protein ","Uncharacterized protein ","Carboxyltransferase domain-containing protein "
"Q483Q3","LamB/YcsF family protein ","LamB/YcsF family protein ","LamB/YcsF family protein "
"Q483Q4","Oxidoreductase, 2OG-Fe(II) oxygenase family ","Oxidoreductase, 2OG-Fe(II) oxygenase family ","Oxidoreductase, 2OG-Fe(II) oxygenase family "
